codigo,nome,nome_cientifico,Energia (kcal),Umidade (g),Carboidrato total (g),Proteína (g),Lipídios (g),Fibra alimentar (g),Álcool (g),Cinzas (g),Colesterol (mg),Ácidos graxos saturados (g),Ácidos graxos monoinsaturados (g),Ácidos graxos poliinsaturados (g),Ácidos graxos trans (g),Cálcio (mg),Ferro (mg),Sódio (mg),Magnésio (mg),Fósforo (mg),Potássio (mg),Zinco (mg),Cobre (mg),Selênio (mcg),Vitamina A (RE) (mcg),Vitamina A (RAE) (mcg),Vitamina D (mcg),Alfa-tocoferol (Vitamina E) (mg),Tiamina (mg),Riboflavina (mg),Niacina (mg),Vitamina B6 (mg),Vitamina B12 (mcg),Vitamina C (mg),Equivalente de folato (mcg),Sal de adição (g),Açúcar de adição (g),codigo_FoodOn
C0184A,"Canjica, milho, branca, cozida, c/ leite integral e açúcar", ,113 kcal,72.5 g,23.6 g,2.36 g,1.24 g,1.22 g,0.00 g,0.27 g,1.35 mg,0.60 g,0.37 g,0.15 g,0.02 g,42.6 mg,0.06 mg,27.6 mg,5.84 mg,40.6 mg,69.8 mg,0.28 mg,0.03 mg,4.54 mcg,0.58 mcg,0.29 mcg,0.00 mcg,0.04 mg,tr mg,0.04 mg,tr mg,tr mg,0.13 mcg,tr mg,3.76 mcg,0.00 g,7.00 g,
C0185A,"Canjica, milho, branca, cozida, drenada", ,111 kcal,71.9 g,25.6 g,2.25 g,0.22 g,1.27 g,0.00 g,0.08 g,0.00 mg,0.07 g,0.05 g,0.09 g,nan g,0.64 mg,0.10 mg,0.21 mg,4.01 mg,12.6 mg,24.2 mg,0.11 mg,0.01 mg,4.86 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.02 mg,tr mg,tr mg,tr mg,tr mg,0.00 mcg,tr mg,3.97 mcg,0.00 g,0.00 g,
C0126A,"Canjica, milho, branca, crua", ,343 kcal,12.9 g,79.2 g,6.99 g,0.69 g,3.94 g,0.00 g,0.25 g,0.00 mg,0.21 g,0.14 g,0.28 g,nan g,1.98 mg,0.32 mg,0.80 mg,12.4 mg,48.9 mg,93.7 mg,0.37 mg,0.05 mg,15.1 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.07 mg,tr mg,tr mg,tr mg,tr mg,0.00 mcg,tr mg,17.6 mcg,0.00 g,0.00 g,
C0147K,"Canudinho, c/ recheio de brigadeiro", ,346 kcal,20.3 g,62.8 g,8.65 g,6.87 g,0.72 g,0.00 g,1.35 g,38.1 mg,3.26 g,1.91 g,1.29 g,0.03 g,6.70 mg,1.68 mg,9.14 mg,9.14 mg,41.1 mg,50.6 mg,0.32 mg,0.05 mg,2.50 mcg,53.8 mcg,53.8 mcg,nan mcg,0.11 mg,0.08 mg,0.02 mg,0.29 mg,0.00 mg,0.05 mcg,0.00 mg,56.4 mcg,0.00 g,nan g,
C0148K,"Canudinho, c/ recheio de brigadeiro, c/ cobertura de chocolate", ,385 kcal,16.5 g,62.3 g,8.07 g,11.7 g,0.78 g,0.00 g,1.49 g,33.8 mg,6.17 g,3.56 g,1.21 g,0.08 g,44.8 mg,1.74 mg,20.9 mg,20.8 mg,75.3 mg,102 mg,0.44 mg,0.10 mg,2.90 mcg,43.0 mcg,43.0 mcg,0.00 mcg,0.19 mg,0.08 mg,0.06 mg,tr mg,tr mg,0.19 mcg,0.00 mg,47.4 mcg,0.00 g,nan g,
C0089K,"Canudinho, c/ recheio de creme de coco", ,267 kcal,42.2 g,42.2 g,6.49 g,8.28 g,1.17 g,0.00 g,0.87 g,23.9 mg,4.48 g,1.37 g,1.17 g,0.09 g,94.2 mg,1.84 mg,51.0 mg,20.7 mg,113 mg,189 mg,0.75 mg,0.08 mg,8.18 mcg,35.0 mcg,34.6 mcg,0.13 mcg,0.18 mg,0.10 mg,0.17 mg,0.75 mg,0.12 mg,0.21 mcg,0.61 mg,62.2 mcg,nan g,nan g,
C0631A,"Capeleti, c/ carne moída refogada, c/ molho de tomate, caseiro, c/ sal", ,149 kcal,64.5 g,24.2 g,6.96 g,3.07 g,1.67 g,0.00 g,1.15 g,20.4 mg,1.01 g,0.94 g,1.01 g,0.02 g,9.88 mg,1.68 mg,263 mg,7.55 mg,57.2 mg,131 mg,1.09 mg,0.08 mg,2.84 mcg,32.0 mcg,18.4 mcg,0.07 mcg,0.35 mg,0.07 mg,0.03 mg,3.16 mg,0.02 mg,0.36 mcg,4.11 mg,65.9 mcg,0.47 g,0.00 g,
C0630A,"Capeleti, c/ carne moída refogada, s/ molho, caseiro, c/ sal", ,166 kcal,59.7 g,29.3 g,7.77 g,2.25 g,1.49 g,0.00 g,0.98 g,24.1 mg,0.97 g,0.78 g,0.41 g,0.02 g,9.55 mg,1.98 mg,224 mg,5.05 mg,58.1 mg,80.6 mg,1.12 mg,0.07 mg,3.44 mcg,5.98 mcg,5.97 mcg,0.08 mcg,0.14 mg,0.05 mg,0.02 mg,3.95 mg,0.00 mg,0.36 mcg,0.04 mg,80.3 mcg,0.47 g,0.00 g,
C0648A,"Capeleti, c/ peito de frango refogado, c/ molho de tomate, caseiro, c/ sal", ,144 kcal,64.9 g,24.2 g,7.41 g,2.31 g,1.67 g,0.00 g,1.10 g,19.4 mg,0.72 g,0.69 g,0.76 g,0.00 g,10.4 mg,1.53 mg,233 mg,10.2 mg,68.8 mg,138 mg,0.43 mg,0.08 mg,3.66 mcg,32.0 mcg,18.3 mcg,0.06 mcg,0.38 mg,0.06 mg,0.01 mg,3.43 mg,0.01 mg,0.05 mcg,4.12 mg,66.4 mcg,0.47 g,0.00 g,
C0647A,"Capeleti, c/ peito de frango refogado, s/ molho, cozido, caseiro, c/ sal", ,161 kcal,60.0 g,29.3 g,8.22 g,1.49 g,1.49 g,0.00 g,0.93 g,23.2 mg,0.68 g,0.53 g,0.16 g,0.00 g,10.1 mg,1.83 mg,194 mg,7.67 mg,69.8 mg,87.6 mg,0.46 mg,0.07 mg,4.25 mcg,5.89 mcg,5.88 mcg,0.08 mcg,0.16 mg,0.05 mg,tr mg,4.22 mg,tr mg,0.05 mcg,0.04 mg,80.8 mcg,0.47 g,0.00 g,
C0834B,"Caponata de berinjela, conserva de berinjela, c/ sal", ,207 kcal,69.4 g,10.3 g,1.23 g,18.3 g,1.79 g,0.00 g,0.76 g,0.00 mg,2.74 g,11.5 g,3.85 g,0.02 g,13.2 mg,0.48 mg,130 mg,10.4 mg,28.7 mg,162 mg,0.21 mg,0.06 mg,0.20 mcg,23.4 mcg,11.7 mcg,0.00 mcg,1.48 mg,0.04 mg,0.01 mg,0.04 mg,0.05 mg,0.00 mcg,34.3 mg,9.78 mcg,0.32 g,0.00 g,
C0835B,"Caponata de berinjela, conserva de berinjela, s/ sal", ,213 kcal,68.9 g,10.6 g,1.29 g,18.8 g,1.90 g,0.00 g,0.47 g,0.00 mg,2.82 g,11.8 g,3.89 g,0.02 g,13.7 mg,0.51 mg,1.97 mg,11.5 mg,29.8 mg,182 mg,0.23 mg,0.07 mg,0.21 mcg,26.0 mcg,13.1 mcg,0.00 mcg,1.54 mg,0.04 mg,0.01 mg,0.04 mg,0.05 mg,0.00 mcg,34.2 mg,9.69 mcg,0.00 g,0.00 g,
C0012C,"Caqui,  c/ casca, in natura",diospyros kaki l.,68 kcal,80.6 g,18.3 g,0.48 g,0.20 g,4.56 g,0.00 g,0.45 g,0.00 mg,0.02 g,0.04 g,0.05 g,0.00 g,12.7 mg,0.09 mg,2.09 mg,7.07 mg,17.6 mg,156 mg,0.11 mg,tr mg,0.20 mcg,239 mcg,119 mcg,0.00 mcg,0.77 mg,tr mg,tr mg,tr mg,0.03 mg,0.00 mcg,20.6 mg,7.89 mcg,0.00 g,0.00 g,
C0910B,"Cará, cozido, drenada, s/ óleo, c/ sal",dioscorea alata l.,77 kcal,78.6 g,18.8 g,1.52 g,0.11 g,2.63 g,0.00 g,0.94 g,0.00 mg,0.03 g,0.01 g,0.07 g,0.00 g,5.23 mg,0.31 mg,128 mg,14.8 mg,27.7 mg,202 mg,0.24 mg,0.11 mg,0.49 mcg,13.6 mcg,6.82 mcg,0.00 mcg,0.38 mg,0.12 mg,0.00 mg,0.00 mg,0.12 mg,0.00 mcg,0.00 mg,11.3 mcg,0.32 g,0.00 g,
C0353B,"Cará, refogado (c/ óleo, cebola e alho), c/ sal",dioscorea alata l.,99 kcal,72.0 g,22.9 g,2.36 g,1.33 g,7.16 g,0.00 g,1.41 g,0.00 mg,0.21 g,0.28 g,0.78 g,0.01 g,4.72 mg,0.23 mg,187 mg,11.9 mg,37.2 mg,219 mg,0.19 mg,0.07 mg,0.90 mcg,9.90 mcg,4.95 mcg,0.00 mcg,0.44 mg,0.10 mg,tr mg,tr mg,0.03 mg,0.00 mcg,7.66 mg,14.1 mcg,0.32 g,0.00 g,
C0352B,"Cará, refogado (c/ óleo, cebola e alho), s/ sal",dioscorea alata l.,99 kcal,72.3 g,23.0 g,2.37 g,1.34 g,7.19 g,0.00 g,0.95 g,0.00 mg,0.21 g,0.28 g,0.78 g,0.01 g,4.63 mg,0.23 mg,0.09 mg,11.9 mg,37.4 mg,220 mg,0.19 mg,0.07 mg,0.90 mcg,9.94 mcg,4.97 mcg,0.00 mcg,0.44 mg,0.10 mg,tr mg,tr mg,0.03 mg,0.00 mcg,7.69 mg,14.2 mcg,0.00 g,0.00 g,
C0046B,"Cará, s/ casca, cozida, drenada, s/ óleo, s/ sal",dioscorea alata l.,77 kcal,78.9 g,18.9 g,1.53 g,0.11 g,2.63 g,0.00 g,0.62 g,0.00 mg,0.03 g,0.01 g,0.07 g,0.00 g,5.17 mg,0.31 mg,1.01 mg,14.8 mg,27.8 mg,203 mg,0.24 mg,0.11 mg,0.49 mcg,13.7 mcg,6.84 mcg,0.00 mcg,0.38 mg,0.12 mg,tr mg,tr mg,0.12 mg,0.00 mcg,tr mg,11.3 mcg,0.00 g,0.00 g,
C0351B,"Cará, s/ casca, cozido, drenado, c/ óleo de soja, c/ sal",dioscorea alata l.,118 kcal,74.6 g,17.8 g,1.45 g,5.08 g,2.49 g,0.00 g,1.06 g,0.00 mg,0.79 g,1.16 g,3.05 g,0.02 g,5.00 mg,0.30 mg,188 mg,14.0 mg,26.3 mg,192 mg,0.23 mg,0.12 mg,0.47 mcg,12.9 mcg,6.47 mcg,0.00 mcg,0.97 mg,0.11 mg,tr mg,tr mg,0.11 mg,0.00 mcg,tr mg,10.7 mcg,0.32 g,0.00 g,
C0350B,"Cará, s/ casca, cozido, drenado, c/ óleo de soja, s/ sal",dioscorea alata l.,118 kcal,74.9 g,17.9 g,1.45 g,5.11 g,2.50 g,0.00 g,0.59 g,0.00 mg,0.79 g,1.17 g,3.06 g,0.03 g,4.91 mg,0.30 mg,0.96 mg,14.1 mg,26.4 mg,193 mg,0.23 mg,0.12 mg,0.47 mcg,13.0 mcg,6.50 mcg,0.00 mcg,0.97 mg,0.11 mg,tr mg,tr mg,0.11 mg,0.00 mcg,tr mg,10.7 mcg,0.00 g,0.00 g,
C0017B,"Cará, s/ casca, cru",dioscorea alata l.,88 kcal,73.7 g,23.0 g,2.28 g,0.14 g,7.27 g,0.00 g,0.93 g,0.00 mg,0.03 g,tr g,0.06 g,0.00 g,3.91 mg,0.21 mg,tr mg,11.5 mg,34.7 mg,211 mg,0.18 mg,0.06 mg,0.90 mcg,11.4 mcg,5.70 mcg,0.00 mcg,0.29 mg,0.11 mg,tr mg,tr mg,0.02 mg,0.00 mcg,8.79 mg,19.9 mcg,0.00 g,0.00 g,
C0055C,"Carambola, c/ casca, in natura",averrhoa carambola l.,47 kcal,87.1 g,11.5 g,0.87 g,0.18 g,2.03 g,0.00 g,0.37 g,0.00 mg,0.01 g,0.02 g,0.10 g,0.00 g,4.79 mg,0.20 mg,4.09 mg,7.36 mg,10.7 mg,132 mg,0.24 mg,0.08 mg,0.42 mcg,3.31 mcg,1.65 mcg,0.00 mcg,0.08 mg,0.12 mg,tr mg,tr mg,tr mg,0.00 mcg,60.9 mg,8.32 mcg,0.00 g,0.00 g,
C0526F,"Carne desfiada (carne louca), c/ sal", ,223 kcal,61.0 g,5.98 g,17.5 g,14.6 g,1.16 g,0.00 g,0.88 g,64.1 mg,4.55 g,4.10 g,5.01 g,0.22 g,36.5 mg,1.96 mg,314 mg,16.8 mg,125 mg,277 mg,5.02 mg,0.14 mg,0.33 mcg,8.19 mcg,4.21 mcg,1.66 mcg,1.15 mg,0.03 mg,0.03 mg,0.98 mg,0.12 mg,1.61 mcg,6.25 mg,8.93 mcg,0.45 g,0.00 g,
C0527F,"Carne desfiada (carne louca), s/ sal", ,223 kcal,61.2 g,5.74 g,17.5 g,14.7 g,1.06 g,0.00 g,0.86 g,64.1 mg,4.56 g,4.12 g,5.08 g,0.22 g,10.7 mg,1.59 mg,54.5 mg,15.1 mg,125 mg,270 mg,4.92 mg,0.10 mg,0.21 mcg,8.19 mcg,4.09 mcg,1.66 mcg,1.16 mg,0.03 mg,0.03 mg,0.98 mg,0.12 mg,1.61 mcg,6.29 mg,8.92 mcg,0.00 g,0.00 g,
C0012F,"Carne, avestruz, apex, cru",struthio camelus african black,146 kcal,64.3 g,1.47 g,30.9 g,1.82 g,0.00 g,0.00 g,1.50 g,57.0 mg,0.68 g,0.63 g,0.36 g,nan g,5.20 mg,10.7 mg,100 mg,9.80 mg,92.2 mg,126 mg,17.8 mg,0.46 mg,nan mcg,nan mcg,0.00 mcg,nan mcg,0.16 mg,0.29 mg,0.43 mg,7.07 mg,0.77 mg,7.44 mcg,0.00 mg,12.0 mcg,0.00 g,0.00 g,
C0013F,"Carne, avestruz, coxa externa, crua",struthio camelus african black,144 kcal,64.8 g,1.03 g,30.8 g,1.91 g,0.00 g,0.00 g,1.48 g,63.3 mg,0.59 g,0.57 g,0.42 g,nan g,5.40 mg,14.2 mg,129 mg,10.00 mg,89.4 mg,122 mg,15.2 mg,0.52 mg,nan mcg,nan mcg,0.00 mcg,nan mcg,0.19 mg,0.30 mg,0.44 mg,7.13 mg,0.77 mg,7.51 mcg,0.00 mg,11.5 mcg,0.00 g,0.00 g,
C0014F,"Carne, avestruz, coxa interna, crua",struthio camelus african black,130 kcal,67.5 g,0.61 g,29.1 g,1.25 g,0.00 g,0.00 g,1.48 g,48.2 mg,0.44 g,0.44 g,0.28 g,nan g,5.80 mg,11.6 mg,97.3 mg,9.40 mg,91.6 mg,132 mg,15.6 mg,0.46 mg,nan mcg,nan mcg,0.00 mcg,nan mcg,0.15 mg,0.27 mg,0.40 mg,6.55 mg,0.71 mg,6.89 mcg,0.00 mg,10.8 mcg,0.00 g,0.00 g,
C1069F,"Carne, avestruz, cozida, s/ óleo, s/ sal (média de diferentes cortes)",struthio camelus african black,183 kcal,55.5 g,0.92 g,39.0 g,2.60 g,0.00 g,0.00 g,1.98 g,nan mg,0.84 g,1.07 g,0.54 g,nan g,6.85 mg,15.9 mg,131 mg,12.6 mg,116 mg,161 mg,15.8 mg,0.66 mg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.19 mg,0.37 mg,0.54 mg,8.84 mg,0.96 mg,9.31 mcg,0.00 mg,15.5 mcg,0.00 g,0.00 g,
C0011F,"Carne, avestruz, crua (média de diferentes cortes)",struthio camelus african black,141 kcal,65.7 g,0.71 g,30.0 g,2.00 g,0.00 g,0.00 g,1.52 g,51.0 mg,0.64 g,0.82 g,0.41 g,nan g,5.27 mg,12.3 mg,100 mg,9.70 mg,89.8 mg,124 mg,12.2 mg,0.51 mg,nan mcg,0.00 mcg,0.00 mcg,nan mcg,0.15 mg,0.28 mg,0.41 mg,6.80 mg,0.74 mg,7.16 mcg,0.00 mg,11.9 mcg,0.00 g,0.00 g,
C0015F,"Carne, avestruz, filet mingon, crua",struthio camelus african black,153 kcal,65.1 g,1.91 g,27.8 g,3.83 g,0.00 g,0.00 g,1.29 g,97.4 mg,1.23 g,1.57 g,0.79 g,nan g,4.20 mg,13.2 mg,102 mg,9.40 mg,87.6 mg,110 mg,4.58 mg,0.70 mg,nan mcg,nan mcg,0.00 mcg,nan mcg,0.28 mg,0.29 mg,0.42 mg,6.92 mg,0.75 mg,7.29 mcg,0.00 mg,12.1 mcg,0.00 g,0.00 g,
C0016F,"Carne, avestruz, leque, crua",struthio camelus african black,137 kcal,66.2 g,0.40 g,30.1 g,1.63 g,0.00 g,0.00 g,1.67 g,44.9 mg,0.58 g,0.58 g,0.31 g,nan g,5.40 mg,12.0 mg,109 mg,9.80 mg,89.0 mg,130 mg,8.24 mg,0.42 mg,nan mcg,nan mcg,0.00 mcg,nan mcg,0.12 mg,0.29 mg,0.42 mg,6.91 mg,0.75 mg,7.27 mcg,0.00 mg,11.7 mcg,0.00 g,0.00 g,
C0017F,"Carne, avestruz, redondo, crua",struthio camelus african black,141 kcal,66.1 g,0.74 g,29.2 g,2.35 g,0.00 g,0.00 g,1.58 g,19.2 mg,0.59 g,0.72 g,0.25 g,nan g,5.60 mg,11.8 mg,84.4 mg,9.80 mg,89.2 mg,126 mg,11.6 mg,0.48 mg,nan mcg,nan mcg,0.00 mcg,nan mcg,0.06 mg,0.21 mg,0.31 mg,5.13 mg,0.56 mg,5.40 mcg,0.00 mg,8.20 mcg,0.00 g,0.00 g,
C0364F,"Carne, boi, acém moída, cozida, c/ azeitona, milho verde, ovo cozido, c/ óleo, cebola e alho, c/ sal", ,190 kcal,64.6 g,3.54 g,18.9 g,11.3 g,1.05 g,0.00 g,1.66 g,103 mg,3.96 g,4.76 g,1.33 g,0.16 g,13.9 mg,2.49 mg,413 mg,15.2 mg,135 mg,218 mg,5.48 mg,0.08 mg,1.53 mcg,16.6 mcg,13.9 mcg,1.99 mcg,0.59 mg,0.01 mg,0.24 mg,1.58 mg,0.01 mg,1.78 mcg,0.61 mg,13.0 mcg,0.45 g,0.00 g,
C0365F,"Carne, boi, acém moída, cozida, c/ azeitona, milho verde, ovo cozido, c/ óleo, cebola e alho, s/ sal", ,192 kcal,64.8 g,3.60 g,18.9 g,11.4 g,1.07 g,0.00 g,1.22 g,103 mg,3.97 g,4.79 g,1.40 g,0.16 g,13.9 mg,2.49 mg,233 mg,15.3 mg,135 mg,220 mg,5.48 mg,0.08 mg,1.53 mcg,16.6 mcg,13.9 mcg,1.99 mcg,0.61 mg,0.01 mg,0.24 mg,1.58 mg,0.02 mg,1.78 mcg,0.65 mg,13.1 mcg,0.00 g,0.00 g,
C0356F,"Carne, boi, acém moída, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, c/ sal", ,138 kcal,73.1 g,3.53 g,15.2 g,7.15 g,0.84 g,0.00 g,1.08 g,56.7 mg,2.82 g,2.79 g,0.84 g,0.14 g,8.10 mg,1.55 mg,209 mg,13.3 mg,100 mg,217 mg,4.53 mg,0.05 mg,0.10 mcg,66.1 mcg,33.9 mcg,1.53 mcg,0.31 mg,0.02 mg,0.18 mg,1.14 mg,0.02 mg,1.43 mcg,1.46 mg,7.48 mcg,0.45 g,0.00 g,
C0357F,"Carne, boi, acém moída, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, s/ sal", ,139 kcal,73.3 g,3.60 g,15.2 g,7.26 g,0.85 g,0.00 g,0.63 g,56.7 mg,2.83 g,2.81 g,0.91 g,0.14 g,8.07 mg,1.55 mg,29.8 mg,13.4 mg,101 mg,219 mg,4.54 mg,0.05 mg,0.11 mcg,66.1 mcg,33.9 mcg,1.53 mcg,0.32 mg,0.02 mg,0.18 mg,1.14 mg,0.02 mg,1.43 mcg,1.51 mg,7.54 mcg,0.00 g,0.00 g,
C0358F,"Carne, boi, acém moída, cozida, c/ batata, c/ óleo, cebola e alho, c/ sal", ,169 kcal,67.2 g,3.75 g,19.2 g,8.75 g,0.49 g,0.00 g,1.19 g,72.2 mg,3.53 g,3.48 g,0.87 g,0.17 g,4.59 mg,1.93 mg,217 mg,14.1 mg,124 mg,250 mg,5.74 mg,0.07 mg,0.08 mcg,0.00 mcg,0.00 mcg,1.95 mcg,0.18 mg,0.02 mg,0.22 mg,1.23 mg,0.03 mg,1.82 mcg,1.38 mg,5.64 mcg,0.45 g,0.00 g,
C0359F,"Carne, boi, acém moída, cozida, c/ batata, c/ óleo, cebola e alho, s/ sal", ,171 kcal,67.4 g,3.82 g,19.2 g,8.86 g,0.50 g,0.00 g,0.74 g,72.2 mg,3.55 g,3.50 g,0.94 g,0.17 g,4.56 mg,1.93 mg,37.3 mg,14.2 mg,125 mg,252 mg,5.74 mg,0.07 mg,0.08 mcg,0.00 mcg,0.00 mcg,1.95 mcg,0.20 mg,0.02 mg,0.22 mg,1.23 mg,0.03 mg,1.82 mcg,1.42 mg,5.70 mcg,0.00 g,0.00 g,
C0362F,"Carne, boi, acém moída, cozida, c/ cenoura, abobrinha, milho, ervilha, c/ óleo, cebola e alho, c/ sal", ,149 kcal,70.1 g,5.47 g,15.8 g,7.39 g,1.44 g,0.00 g,1.28 g,56.7 mg,2.88 g,2.86 g,0.94 g,0.14 g,8.68 mg,1.74 mg,277 mg,16.9 mg,112 mg,223 mg,4.68 mg,0.07 mg,0.24 mcg,79.8 mcg,39.9 mcg,1.53 mcg,0.33 mg,0.02 mg,0.18 mg,1.58 mg,0.02 mg,1.43 mcg,1.45 mg,16.9 mcg,0.45 g,0.00 g,
C0363F,"Carne, boi, acém moída, cozida, c/ cenoura, abobrinha, milho, ervilha, c/ óleo, cebola e alho, s/ sal", ,150 kcal,70.3 g,5.54 g,15.8 g,7.50 g,1.45 g,0.00 g,0.83 g,56.7 mg,2.90 g,2.89 g,1.01 g,0.14 g,8.64 mg,1.74 mg,98.0 mg,17.0 mg,112 mg,224 mg,4.68 mg,0.07 mg,0.25 mcg,79.8 mcg,39.9 mcg,1.53 mcg,0.34 mg,0.02 mg,0.18 mg,1.58 mg,0.02 mg,1.43 mcg,1.49 mg,16.9 mcg,0.00 g,0.00 g,
C0354F,"Carne, boi, acém moída, cozida, c/ óleo de soja, cebola e alho, c/ sal", ,208 kcal,61.1 g,0.68 g,25.5 g,11.5 g,0.12 g,0.00 g,1.28 g,98.0 mg,4.73 g,4.63 g,0.94 g,0.23 g,4.69 mg,2.54 mg,229 mg,17.0 mg,159 mg,256 mg,7.71 mg,0.07 mg,0.03 mcg,0.00 mcg,0.00 mcg,2.64 mcg,0.20 mg,0.00 mg,0.30 mg,1.68 mg,0.01 mg,2.47 mcg,0.41 mg,5.52 mcg,0.45 g,0.00 g,
C0355F,"Carne, boi, acém moída, cozida, c/ óleo, cebola e alho, s/ sal", ,209 kcal,61.4 g,0.75 g,25.5 g,11.6 g,0.14 g,0.00 g,0.84 g,98.0 mg,4.75 g,4.65 g,1.01 g,0.23 g,4.66 mg,2.54 mg,49.8 mg,17.0 mg,159 mg,258 mg,7.71 mg,0.07 mg,0.03 mcg,0.00 mcg,0.00 mcg,2.64 mcg,0.21 mg,0.00 mg,0.30 mg,1.68 mg,0.01 mg,2.47 mcg,0.45 mg,5.58 mcg,0.00 g,0.00 g,
C0360F,"Carne, boi, acém moída, cozida, c/ vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, c/ sal", ,153 kcal,70.6 g,2.30 g,17.7 g,8.24 g,0.70 g,0.00 g,1.12 g,67.0 mg,3.29 g,3.25 g,0.87 g,0.16 g,8.14 mg,1.79 mg,214 mg,14.5 mg,114 mg,220 mg,5.32 mg,0.05 mg,0.08 mcg,66.1 mcg,33.9 mcg,1.81 mcg,0.31 mg,0.01 mg,0.21 mg,1.32 mg,0.01 mg,1.69 mcg,1.08 mg,7.43 mcg,0.45 g,0.00 g,
C0361F,"Carne, boi, acém moída, cozida, c/ vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, s/ sal", ,154 kcal,70.9 g,2.37 g,17.8 g,8.35 g,0.71 g,0.00 g,0.67 g,67.0 mg,3.31 g,3.27 g,0.94 g,0.16 g,8.10 mg,1.79 mg,34.8 mg,14.5 mg,115 mg,221 mg,5.33 mg,0.05 mg,0.09 mcg,66.1 mcg,33.9 mcg,1.81 mcg,0.33 mg,0.01 mg,0.21 mg,1.32 mg,0.02 mg,1.69 mcg,1.12 mg,7.49 mcg,0.00 g,0.00 g,
C0025F,"Carne, boi, acém moída, cozida, s/ óleo, s/ sal",bos taurus ,205 kcal,61.6 g,0.00 g,26.7 g,10.9 g,0.00 g,0.00 g,0.84 g,103 mg,4.80 g,4.60 g,0.30 g,0.24 g,4.03 mg,2.65 mg,52.4 mg,17.1 mg,164 mg,255 mg,8.10 mg,0.06 mg,nan mcg,tr mcg,tr mcg,2.78 mcg,0.06 mg,tr mg,0.32 mg,1.76 mg,tr mg,2.60 mcg,0.00 mg,5.15 mcg,0.00 g,0.00 g,
C0650F,"Carne, boi, acém, cozida, s/ óleo, c/ sal",bos taurus ,204 kcal,61.3 g,0.00 g,26.6 g,10.9 g,0.00 g,0.00 g,1.28 g,102 mg,4.78 g,4.58 g,0.30 g,0.24 g,4.12 mg,2.64 mg,231 mg,17.0 mg,163 mg,254 mg,8.06 mg,0.06 mg,4.62 mcg,tr mcg,tr mcg,0.10 mcg,0.17 mg,tr mg,0.32 mg,1.76 mg,tr mg,2.76 mcg,0.00 mg,3.08 mcg,0.45 g,0.00 g,
C0053F,"Carne, boi, acém, crua",bos taurus ,132 kcal,72.8 g,1.38 g,19.4 g,5.45 g,0.00 g,0.00 g,0.94 g,55.7 mg,2.75 g,2.35 g,0.15 g,0.14 g,3.66 mg,1.64 mg,49.2 mg,13.7 mg,150 mg,235 mg,5.77 mg,0.06 mg,nan mcg,2.25 mcg,2.25 mcg,0.07 mcg,0.12 mg,0.14 mg,0.17 mg,3.33 mg,0.02 mg,2.81 mcg,0.00 mg,2.74 mcg,0.00 g,0.00 g,
C0054F,"Carne, boi, acém, moída, crua",bos taurus ,132 kcal,72.8 g,0.00 g,19.4 g,5.45 g,0.00 g,0.00 g,0.94 g,55.7 mg,2.75 g,2.35 g,0.15 g,0.14 g,3.66 mg,1.64 mg,49.2 mg,13.7 mg,150 mg,235 mg,5.77 mg,0.06 mg,3.39 mcg,2.25 mcg,2.25 mcg,0.07 mcg,0.12 mg,0.14 mg,0.17 mg,3.33 mg,0.02 mg,2.81 mcg,0.00 mg,2.74 mcg,0.00 g,0.00 g,
C0245F,"Carne, boi, acém, moída, refogada (c/ óleo, cebola e alho), c/ sal", ,213 kcal,59.7 g,0.71 g,25.5 g,12.1 g,0.13 g,0.00 g,2.06 g,72.3 mg,4.33 g,4.21 g,3.17 g,0.21 g,5.79 mg,2.15 mg,263 mg,18.6 mg,199 mg,320 mg,7.52 mg,0.09 mg,4.43 mcg,2.63 mcg,2.63 mcg,0.08 mcg,0.62 mg,0.13 mg,0.21 mg,3.89 mg,0.02 mg,3.29 mcg,0.41 mg,4.11 mcg,0.50 g,0.00 g,
C0244F,"Carne, boi, acém, moída, refogada (c/ óleo, cebola e alho), s/ sal", ,216 kcal,59.7 g,0.93 g,25.9 g,12.2 g,0.13 g,0.00 g,1.27 g,72.9 mg,4.37 g,4.24 g,3.20 g,0.21 g,5.64 mg,2.17 mg,64.6 mg,18.8 mg,201 mg,323 mg,7.58 mg,0.09 mg,4.47 mcg,2.65 mcg,2.65 mcg,0.09 mcg,0.63 mg,0.13 mg,0.22 mg,3.93 mg,0.02 mg,3.31 mcg,0.42 mg,4.14 mcg,0.00 g,0.00 g,
